"m","r","alpha","methods","alpha_prime","t1_err_alpha_prime"
4,4,0.02,"Fisher",0.015,0.0160666666666667
4,4,0.02,"Simes",0.015,0.0168666666666667
4,4,0.03,"Fisher",0.0225,0.0281666666666667
4,4,0.03,"Simes",0.0225,0.0274666666666667
4,4,0.04,"Fisher",0.0325,0.0398
4,4,0.04,"Simes",0.0325,0.0385333333333333
4,4,0.05,"Fisher",0.0425,0.0528666666666667
4,4,0.05,"Simes",0.0425,0.0526333333333333
4,4,0.06,"Fisher",0.050625,0.0623333333333333
4,4,0.06,"Simes",0.0525,0.0631
4,4,0.07,"Fisher",0.055,0.0667401175213675
4,4,0.07,"Simes",0.055,0.0693108974358974
4,4,0.08,"Fisher",0.065,0.0768229166666667
4,4,0.08,"Simes",0.065,0.077724358974359
4,4,0.09,"Fisher",0.075,0.0911124465811966
4,4,0.09,"Simes",0.075,0.0896768162393162
4,4,0.1,"Fisher",0.085,0.0997
4,4,0.1,"Simes",0.08125,0.0960333333333333
4,4,0.12,"Fisher",0.10125,0.119933333333333
4,4,0.12,"Simes",0.0975,0.116766666666667
4,4,0.14,"Fisher",0.1175,0.1433
4,4,0.14,"Simes",0.1175,0.140366666666667
4,4,0.16,"Fisher",0.13375,0.159154647435897
4,4,0.16,"Simes",0.135625,0.158520299145299
4,4,0.18,"Fisher",0.15375,0.179153311965812
4,4,0.18,"Simes",0.1575,0.182992788461538
4,4,0.2,"Fisher",0.17375,0.203692574786325
4,4,0.2,"Simes",0.17375,0.19901842948718
4,4,0.6,"Fisher",0.5775146484375,0.597266666666667
4,4,0.6,"Simes",0.585,0.599333333333333
4,4,0.8,"Fisher",0.78875,0.798266666666667
4,4,0.8,"Simes",0.78875,0.803733333333333
4,4,1,"Fisher",0.99625,0.996366666666667
4,4,1,"Simes",0.998125,0.9985
5,2,0.001,"Fisher",0.0009375,0.00086805555555555
5,2,0.001,"Simes",0.00075,0.00066773504273504
5,2,0.005,"Fisher",0.004375,0.00347222222222222
5,2,0.005,"Simes",0.004375,0.00347222222222222
5,2,0.01,"Fisher",0.0075,0.00714476495726495
5,2,0.01,"Simes",0.0075,0.00681089743589743
5,2,0.02,"Fisher",0.015,0.0177283653846154
5,2,0.02,"Simes",0.015,0.0167601495726496
5,2,0.03,"Fisher",0.0225,0.0258747329059829
5,2,0.03,"Simes",0.0225,0.0276442307692308
5,2,0.04,"Fisher",0.0325,0.0387333333333333
5,2,0.04,"Simes",0.0325,0.0377666666666667
5,2,0.05,"Fisher",0.0425,0.0483666666666667
5,2,0.05,"Simes",0.0425,0.0500666666666667
5,2,0.06,"Fisher",0.0525,0.0609975961538462
5,2,0.06,"Simes",0.0525,0.0611311431623932
5,2,0.07,"Fisher",0.0625,0.0717333333333333
5,2,0.07,"Simes",0.0625,0.0706
5,2,0.08,"Fisher",0.0725,0.0824
5,2,0.08,"Simes",0.065,0.0761
5,2,0.09,"Fisher",0.0825,0.0909333333333333
5,2,0.09,"Simes",0.075,0.0882333333333333
5,2,0.1,"Fisher",0.085,0.0981333333333333
5,2,0.1,"Simes",0.085,0.0983333333333333
5,2,0.12,"Fisher",0.105,0.1182
5,2,0.12,"Simes",0.105,0.121833333333333
5,2,0.14,"Fisher",0.125,0.142133333333333
5,2,0.14,"Simes",0.125,0.138866666666667
5,2,0.16,"Fisher",0.146875,0.163733333333333
5,2,0.16,"Simes",0.1375,0.1591
5,2,0.18,"Fisher",0.159375,0.180956196581197
5,2,0.18,"Simes",0.165,0.182692307692308
5,2,0.2,"Fisher",0.18125,0.199752938034188
5,2,0.2,"Simes",0.179375,0.201756143162393
5,2,0.6,"Fisher",0.575625,0.598966666666667
5,2,0.6,"Simes",0.5775,0.602033333333333
5,2,0.8,"Fisher",0.78125,0.801233333333333
5,2,0.8,"Simes",0.785,0.799766666666667
5,2,1,"Fisher",0.998125,0.9977
5,2,1,"Simes",0.99625,0.9964
5,3,0.001,"Fisher",0.00096875,0.00083333333333333
5,3,0.001,"Simes",0.00096875,0.00106666666666666
5,3,0.005,"Fisher",0.004375,0.00336801387221555
5,3,0.005,"Simes",0.0046875,0.00380152060824329
5,3,0.01,"Fisher",0.0075,0.0067
5,3,0.01,"Simes",0.0075,0.00793333333333333
5,3,0.02,"Fisher",0.015,0.0161333333333333
5,3,0.02,"Simes",0.015,0.0167
5,3,0.03,"Fisher",0.0225,0.0258666666666667
5,3,0.03,"Simes",0.0225,0.0272666666666667
5,3,0.04,"Fisher",0.0325,0.0394666666666667
5,3,0.04,"Simes",0.0325,0.0385666666666667
5,3,0.05,"Fisher",0.0425,0.0481666666666667
5,3,0.05,"Simes",0.0425,0.0516333333333333
5,3,0.06,"Fisher",0.0525,0.0626
5,3,0.06,"Simes",0.0525,0.0626666666666667
5,3,0.07,"Fisher",0.05875,0.067
5,3,0.07,"Simes",0.055,0.0666666666666667
5,3,0.08,"Fisher",0.06875,0.0827323717948718
5,3,0.08,"Simes",0.065,0.0796941773504273
5,3,0.09,"Fisher",0.075,0.0874
5,3,0.09,"Simes",0.075,0.0892
5,3,0.1,"Fisher",0.086875,0.102466666666667
5,3,0.1,"Simes",0.085,0.0976666666666667
5,3,0.12,"Fisher",0.105,0.123731303418803
5,3,0.12,"Simes",0.105,0.122596153846154
5,3,0.14,"Fisher",0.1175,0.138120993589744
5,3,0.14,"Simes",0.12125,0.137753739316239
5,3,0.16,"Fisher",0.14125,0.159833333333333
5,3,0.16,"Simes",0.1375,0.160666666666667
5,3,0.18,"Fisher",0.155625,0.176549145299145
5,3,0.18,"Simes",0.15796875,0.182625534188034
5,3,0.2,"Fisher",0.17375,0.196881677350427
5,3,0.2,"Simes",0.17375,0.201522435897436
5,3,0.8,"Fisher",0.78125,0.8014
5,3,0.8,"Simes",0.785,0.797166666666667
5,4,0.005,"Fisher",0.004921875,0.00423333333333333
5,4,0.005,"Simes",0.0046875,0.00433333333333333
5,4,0.01,"Fisher",0.0075,0.00724492521367521
5,4,0.01,"Simes",0.0075,0.00754540598290598
5,4,0.02,"Fisher",0.015,0.0182
5,4,0.02,"Simes",0.015,0.0197333333333333
5,4,0.03,"Fisher",0.0225,0.0286458333333333
5,4,0.03,"Simes",0.0225,0.0259415064102564
5,4,0.04,"Fisher",0.0325,0.0420005341880342
5,4,0.04,"Simes",0.0325,0.038661858974359
5,4,0.05,"Fisher",0.03875,0.0489
5,4,0.05,"Simes",0.0425,0.054
5,4,0.06,"Fisher",0.045,0.0563
5,4,0.06,"Simes",0.045,0.0591333333333333
5,4,0.07,"Fisher",0.055,0.0666333333333333
5,4,0.07,"Simes",0.055,0.0678666666666667
5,4,0.08,"Fisher",0.065,0.0821
5,4,0.08,"Simes",0.065,0.0776666666666667
5,4,0.09,"Fisher",0.075,0.0908119658119658
5,4,0.09,"Simes",0.075,0.090645032051282
5,4,0.1,"Fisher",0.08125,0.0982905982905983
5,4,0.1,"Simes",0.085,0.102196848290598
5,4,0.12,"Fisher",0.0975,0.118289262820513
5,4,0.12,"Simes",0.0975,0.117220886752137
5,4,0.14,"Fisher",0.1175,0.142166666666667
5,4,0.14,"Simes",0.1175,0.142133333333333
5,4,0.16,"Fisher",0.13375,0.161825587606838
5,4,0.16,"Simes",0.13375,0.162893963675214
5,4,0.18,"Fisher",0.15375,0.180221688034188
5,4,0.18,"Simes",0.15375,0.180555555555556
5,4,0.2,"Fisher",0.171875,0.199786324786325
5,4,0.2,"Simes",0.171875,0.201188568376068
5,5,0.001,"Fisher",0.0009375,0.00066773504273504
5,5,0.001,"Simes",0.00099998474121093,0.0008346688034188
5,5,0.005,"Fisher",0.0046875,0.00393333333333333
5,5,0.005,"Simes",0.0046875,0.00336666666666666
5,5,0.01,"Fisher",0.0075,0.0076
5,5,0.01,"Simes",0.0075,0.00666666666666666
5,5,0.02,"Fisher",0.015,0.0178285256410256
5,5,0.02,"Simes",0.015,0.0186965811965812
5,5,0.03,"Fisher",0.0225,0.0285456730769231
5,5,0.03,"Simes",0.0225,0.0276776175213675
